name,place_id,address,suburb,postcode,state,lat,lng,phone,website,google_maps_url,rating,user_ratings_total,price_level,opening_hours,types,opening_year,opening_month,first_review_date,independent_flag,pos_hint,notes
Bean Team Coffee Shop,ChIJ525RRAmzsGoR-yLaxiIXWAQ,"144 Frost Rd, Brahma Lodge SA 5109, Australia",Brahma Lodge,5109,SA,-34.7813383,138.6520997,0414 878 460,,https://www.google.com/maps/place/?q=place_id:ChIJ525RRAmzsGoR-yLaxiIXWAQ,4.9,98.0,,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: Closed | Sunday: Closed,"cafe, establishment, food, point_of_interest",2025.0,4.0,2025-04-17 22:29:21,Unknown,Unknown,
F93 Cafe,ChIJcdCpo5zPsGoRrGxwGeNQwpo,"28 Croydon Rd, Keswick SA 5035, Australia",Keswick,5035,SA,-34.9441337,138.5779578,0432 532 277,http://www.f93.com.au/,https://www.google.com/maps/place/?q=place_id:ChIJcdCpo5zPsGoRrGxwGeNQwpo,4.7,276.0,,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 8:00 AM – 2:00 PM | Sunday: Closed,"bar, cafe, establishment, food, point_of_interest, restaurant, store",2025.0,3.0,2025-03-31 04:22:29,Unknown,Unknown,
Two Sisters Cafe Adelaide,ChIJg-77U-HHsGoRibuq8cYIGg8,"68B Woodville Rd, Woodville South SA 5011, Australia",Woodville South,5011,SA,-34.879114,138.5370598,,http://www.two-sisters-cafe.com/,https://www.google.com/maps/place/?q=place_id:ChIJg-77U-HHsGoRibuq8cYIGg8,4.7,250.0,,Monday: 7:30 AM – 3:00 PM | Tuesday: 7:30 AM – 3:00 PM | Wednesday: 7:30 AM – 3:00 PM | Thursday: 7:30 AM – 3:00 PM | Friday: 7:30 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: 8:00 AM – 3:00 PM,"cafe, establishment, food, point_of_interest, restaurant",2025.0,10.0,2025-10-22 12:08:46,Unknown,Unknown,
KOM Coffee,ChIJQTvON03FsGoRCMmobuFTbH4,"355 Anzac Hwy, Plympton SA 5038, Australia",Plympton,5038,SA,-34.9685183,138.5474469,0405 961 212,,https://www.google.com/maps/place/?q=place_id:ChIJQTvON03FsGoRCMmobuFTbH4,4.7,384.0,,Monday: 6:00 AM – 2:00 PM | Tuesday: 6:00 AM – 2:00 PM | Wednesday: 6:00 AM – 2:00 PM | Thursday: 6:00 AM – 2:00 PM | Friday: 6:00 AM – 2:00 PM | Saturday: 7:30 AM – 2:00 PM | Sunday: 8:00 AM – 2:00 PM,"cafe, establishment, food, point_of_interest, restaurant, store",2024.0,4.0,2024-04-18 14:34:45,Unknown,Unknown,
Henley Breeze Café,ChIJeU6OWQbFsGoRijS4sG0L8pQ,"303 Seaview Rd, Henley Beach SA 5022, Australia",Henley Beach,5022,SA,-34.9165831,138.4933102,0452 056 040,,https://www.google.com/maps/place/?q=place_id:ChIJeU6OWQbFsGoRijS4sG0L8pQ,4.6,259.0,2.0,Monday: 6:00 AM – 2:00 PM | Tuesday: Closed | Wednesday: 6:00 AM – 2:00 PM | Thursday: 6:00 AM – 2:00 PM | Friday: 6:00 AM – 2:00 PM | Saturday: 6:00 AM – 2:00 PM | Sunday: 6:00 AM – 2:00 PM,"cafe, establishment, food, point_of_interest",2025.0,7.0,2025-07-25 11:14:55,Unknown,Unknown,
Sunnyside Cafe,ChIJkapq7LTFsGoR7mJDTh7MIQw,"245 Esplanade, Henley Beach SA 5022, Australia",Henley Beach,5022,SA,-34.9204481,138.4939772,0422 333 246,http://www.sunnysidehenley.com.au/,https://www.google.com/maps/place/?q=place_id:ChIJkapq7LTFsGoR7mJDTh7MIQw,4.7,593.0,2.0,Monday: 8:00 AM – 2:00 PM | Tuesday: 8:00 AM – 2:00 PM | Wednesday: 8:00 AM – 2:00 PM | Thursday: 8:00 AM – 2:00 PM | Friday: 8:00 AM – 2:00 PM | Saturday: 8:00 AM – 2:00 PM | Sunday: 8:00 AM – 2:00 PM,"cafe, establishment, food, point_of_interest",2025.0,12.0,2025-12-15 02:16:20,Unknown,Unknown,
The Spare Room,ChIJEbRXm1zEsGoRBWX2sLQxLPE,"575 Grange Rd, Grange SA 5022, Australia",Grange,5022,SA,-34.906631,138.503402,0492 967 242,https://www.facebook.com/thespareroomcafe/,https://www.google.com/maps/place/?q=place_id:ChIJEbRXm1zEsGoRBWX2sLQxLPE,4.5,273.0,,Monday: 6:00 AM – 3:00 PM | Tuesday: 6:00 AM – 3:00 PM | Wednesday: 6:00 AM – 3:00 PM | Thursday: 6:00 AM – 3:00 PM | Friday: 6:00 AM – 3:00 PM | Saturday: 6:00 AM – 12:00 PM | Sunday: 6:00 AM – 12:00 PM,"cafe, establishment, food, point_of_interest, restaurant, store",2024.0,2.0,2024-02-03 01:54:51,Unknown,Unknown,
Sylvia’s Café,ChIJQaOW6NPOsGoRc0LwhxjQAhc,"Twin Plaza Arcade, Adelaide SA 5000, Australia",Adelaide,5000,SA,-34.9234553,138.6047373,(08) 8232 6880,https://www.ozfoodhunter.com.au/sylvia-s-cafe,https://www.google.com/maps/place/?q=place_id:ChIJQaOW6NPOsGoRc0LwhxjQAhc,4.6,104.0,1.0,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: Closed | Sunday: Closed,"cafe, establishment, food, point_of_interest, store",2024.0,1.0,2024-01-04 22:02:01,Unknown,Unknown,
Six & Five Cafe,ChIJ0WUQRsXJsGoRl4W6wZYfqK4,"65 Sydenham Rd, Norwood SA 5067, Australia",Norwood,5067,SA,-34.9206194,138.6273807,(08) 7001 6410,https://www.sixandfivecafe.com.au/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6264385678698482888,https://www.google.com/maps/place/?q=place_id:ChIJ0WUQRsXJsGoRl4W6wZYfqK4,4.6,191.0,1.0,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: 8:30 AM – 2:00 PM,"cafe, establishment, food, point_of_interest",2023.0,1.0,2023-01-22 03:42:28,Unknown,Unknown,
Coffee Branch,ChIJT3PxOCjPsGoRw4GB_ftwFPk,"32 Leigh St, Adelaide SA 5000, Australia",Adelaide,5000,SA,-34.9241609,138.5977499,0410 400 721,https://www.instagram.com/coffeebranch/,https://www.google.com/maps/place/?q=place_id:ChIJT3PxOCjPsGoRw4GB_ftwFPk,4.6,317.0,2.0,Monday: 7:30 AM – 3:00 PM | Tuesday: 7:30 AM – 3:00 PM | Wednesday: 7:30 AM – 3:00 PM | Thursday: 7:30 AM – 3:00 PM | Friday: 7:30 AM – 3:00 PM | Saturday: 8:00 – 11:30 AM | Sunday: Closed,"cafe, establishment, food, point_of_interest, store",2023.0,6.0,2023-06-30 04:49:06,Unknown,Unknown,
Café Komodo,ChIJTQCmV_vIsGoRLVATBIqt7EY,"118 Prospect Rd, Prospect SA 5082, Australia",Prospect,5082,SA,-34.886973,138.5936401,(08) 8344 7448,http://www.cafekomo.do/,https://www.google.com/maps/place/?q=place_id:ChIJTQCmV_vIsGoRLVATBIqt7EY,4.5,951.0,2.0,Monday: Closed | Tuesday: 7:30 AM – 4:00 PM | Wednesday: 7:30 AM – 4:00 PM | Thursday: 7:30 AM – 4:00 PM | Friday: 7:30 AM – 10:00 PM | Saturday: 7:30 AM – 9:00 PM | Sunday: 7:30 AM – 6:00 PM,"cafe, establishment, food, point_of_interest, restaurant, store",2025.0,5.0,2025-05-28 05:02:07,Unknown,Unknown,
Bread & Butter,ChIJxzqtlkHHsGoR9I8LKy7dWNI,"69 Findon Rd, Woodville South SA 5011, Australia",Woodville South,5011,SA,-34.8883313,138.5315285,0455 313 315,https://www.instagram.com/breadandbutterwoodville?igsh=cmZjaGF0OHBhaXU=,https://www.google.com/maps/place/?q=place_id:ChIJxzqtlkHHsGoR9I8LKy7dWNI,4.8,283.0,,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: 8:00 AM – 3:00 PM,"cafe, establishment, food, point_of_interest, restaurant, store",2025.0,11.0,2025-11-27 01:29:23,Unknown,Unknown,
Luxxe Café,ChIJ75263ifPsGoRufRmXPw-wx0,"60 Waymouth St, Adelaide SA 5000, Australia",Adelaide,5000,SA,-34.925778,138.5973747,(08) 8211 6333,http://www.luxxecafe.com/,https://www.google.com/maps/place/?q=place_id:ChIJ75263ifPsGoRufRmXPw-wx0,4.5,73.0,2.0,Monday: 6:30 AM – 3:30 PM | Tuesday: 6:30 AM – 3:30 PM | Wednesday: 6:30 AM – 3:30 PM | Thursday: 6:30 AM – 3:30 PM | Friday: 6:30 AM – 3:30 PM | Saturday: Closed | Sunday: Closed,"cafe, establishment, food, point_of_interest, restaurant, store",2025.0,8.0,2025-08-21 22:34:04,Unknown,Unknown,
Juniper and Pine Cafe Restaurant,ChIJm-2WBDTasGoRkJKg9zIJigQ,"2/450 Brighton Rd, Brighton SA 5048, Australia",Brighton,5048,SA,-35.017927,138.523359,(08) 8358 2453,https://juniperandpine.com.au/,https://www.google.com/maps/place/?q=place_id:ChIJm-2WBDTasGoRkJKg9zIJigQ,4.2,701.0,2.0,"Monday: 8:00 AM – 2:30 PM, 4:30 – 9:00 PM | Tuesday: 8:00 AM – 2:30 PM, 4:30 – 9:00 PM | Wednesday: 8:00 AM – 2:30 PM, 4:30 – 9:00 PM | Thursday: 8:00 AM – 2:30 PM, 4:30 – 9:00 PM | Friday: 8:00 AM – 2:30 PM, 4:30 – 9:00 PM | Saturday: 8:00 AM – 2:30 PM, 4:30 – 9:00 PM | Sunday: 8:00 AM – 2:30 PM, 4:30 – 9:00 PM","cafe, establishment, food, point_of_interest, restaurant",2024.0,5.0,2024-05-13 15:59:26,Unknown,Unknown,
Latte Di Caffé,ChIJ0UcKfWTFsGoR73wDx7lA2FA,"9 Charles St, West Lakes SA 5021, Australia",West Lakes,5021,SA,-34.8789329,138.4946182,0435 893 881,https://thedailyfixx.com.au/,https://www.google.com/maps/place/?q=place_id:ChIJ0UcKfWTFsGoR73wDx7lA2FA,3.9,94.0,,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 7:00 AM – 3:00 PM | Sunday: Closed,"cafe, establishment, food, point_of_interest",2022.0,6.0,2022-06-29 12:24:16,Unknown,Unknown,
e10 espresso,ChIJm54SyYLPsGoRrYvFCFQRtV4,"146 Richmond Rd, Marleston SA 5033, Australia",Marleston,5033,SA,-34.9423892,138.5683686,(08) 8443 7282,https://www.facebook.com/e10-espresso-178410212718097/,https://www.google.com/maps/place/?q=place_id:ChIJm54SyYLPsGoRrYvFCFQRtV4,4.9,234.0,,Monday: 6:30 AM – 2:00 PM | Tuesday: 6:30 AM – 2:00 PM | Wednesday: 6:30 AM – 2:00 PM | Thursday: 6:30 AM – 2:00 PM | Friday: 6:30 AM – 2:00 PM | Saturday: Closed | Sunday: Closed,"cafe, establishment, food, point_of_interest, store",2023.0,11.0,2023-11-23 01:40:30,Unknown,Unknown,
The Coffee Barun Espresso Bar,ChIJI8IHKXa1sGoRKMMsVCyL-L0,"132a Tolley Rd, St Agnes SA 5097, Australia",Saint Agnes,5097,SA,-34.8295232,138.7065048,0407 780 134,http://www.thecoffeebarun.com.au/,https://www.google.com/maps/place/?q=place_id:ChIJI8IHKXa1sGoRKMMsVCyL-L0,4.6,311.0,2.0,Monday: 6:30 AM – 3:00 PM | Tuesday: 6:30 AM – 3:00 PM | Wednesday: 6:30 AM – 3:00 PM | Thursday: 6:30 AM – 3:00 PM | Friday: 6:30 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: 9:00 AM – 2:00 PM,"cafe, establishment, food, point_of_interest",2024.0,8.0,2024-08-21 09:01:22,Unknown,Unknown,
Ground Floor Coffee,ChIJA6LUH6nFsGoRRjdbI2-QVWI,"69 Frogmore Rd, Kidman Park SA 5025, Australia",Kidman Park,5025,SA,-34.9139731,138.528002,(08) 8352 5101,,https://www.google.com/maps/place/?q=place_id:ChIJA6LUH6nFsGoRRjdbI2-QVWI,4.6,56.0,,Monday: 6:00 AM – 3:00 PM | Tuesday: 6:00 AM – 3:00 PM | Wednesday: 6:00 AM – 3:00 PM | Thursday: 6:00 AM – 3:00 PM | Friday: 6:00 AM – 3:00 PM | Saturday: 6:30 AM – 12:00 PM | Sunday: Closed,"cafe, establishment, food, point_of_interest",2022.0,4.0,2022-04-13 00:44:26,Unknown,Unknown,
First Things First Coffee,ChIJw9omJW7HsGoRren4gIY10Dg,"727 Port Rd, Woodville Park SA 5011, Australia",Woodville Park,5011,SA,-34.8838171,138.5407534,(08) 8445 6964,https://firstthingsfirstcoffee.com.au/,https://www.google.com/maps/place/?q=place_id:ChIJw9omJW7HsGoRren4gIY10Dg,4.5,278.0,,Monday: 5:30 AM – 4:00 PM | Tuesday: 5:30 AM – 4:00 PM | Wednesday: 5:30 AM – 4:00 PM | Thursday: 5:30 AM – 4:00 PM | Friday: 5:30 AM – 4:00 PM | Saturday: 5:30 AM – 4:00 PM | Sunday: 7:30 AM – 4:00 PM,"cafe, establishment, food, point_of_interest",2025.0,7.0,2025-07-31 21:22:19,Unknown,Unknown,
Fresco-Bah,ChIJb_VBSQHPsGoRh8PKSyiQpEw,"151 Pirie St, Adelaide SA 5000, Australia",Adelaide,5000,SA,-34.9255175,138.6053271,0431 600 970,https://www.facebook.com/fresco151/,https://www.google.com/maps/place/?q=place_id:ChIJb_VBSQHPsGoRh8PKSyiQpEw,4.9,148.0,,Monday: 6:30 AM – 4:00 PM | Tuesday: 6:30 AM – 4:00 PM | Wednesday: 6:30 AM – 4:00 PM | Thursday: 6:30 AM – 4:00 PM | Friday: 6:30 AM – 4:00 PM | Saturday: Closed | Sunday: Closed,"cafe, establishment, food, point_of_interest",2024.0,8.0,2024-08-07 01:50:26,Unknown,Unknown,
Bobbys coffee store,ChIJS_YPserbsGoRqY6ruWfGSf0,"45 Sandison Terrace, Glenelg North SA 5045, Australia",Glenelg North,5045,SA,-34.9740243,138.5283457,,http://www.bobbyscoffeestore.com/,https://www.google.com/maps/place/?q=place_id:ChIJS_YPserbsGoRqY6ruWfGSf0,4.2,42.0,,Monday: 6:30 AM – 2:00 PM | Tuesday: 6:30 AM – 2:00 PM | Wednesday: 6:30 AM – 2:00 PM | Thursday: 6:30 AM – 2:00 PM | Friday: 6:30 AM – 2:00 PM | Saturday: 7:30 AM – 2:00 PM | Sunday: 8:00 AM – 2:00 PM,"cafe, establishment, food, point_of_interest, store",2025.0,9.0,2025-09-01 03:03:47,Unknown,Unknown,
Flava cafe and Lunchbar on Richmond,ChIJ9WAzT4HPsGoRtTSQRRQOHdM,"2/200 Richmond Rd, Marleston SA 5033, Australia",Marleston,5033,SA,-34.9426909,138.5630007,0433 257 657,,https://www.google.com/maps/place/?q=place_id:ChIJ9WAzT4HPsGoRtTSQRRQOHdM,4.9,144.0,1.0,Monday: 6:00 AM – 3:00 PM | Tuesday: 6:00 AM – 3:00 PM | Wednesday: 6:00 AM – 3:00 PM | Thursday: 6:00 AM – 3:00 PM | Friday: 6:00 AM – 3:00 PM | Saturday: Closed | Sunday: Closed,"cafe, establishment, food, meal_takeaway, point_of_interest, restaurant, store",2023.0,2.0,2023-02-23 04:40:24,Unknown,Unknown,
Balfours Cafe,ChIJv6bQ3G7asGoRqMz_rWGMi7I,"297 Diagonal Rd, Oaklands Park SA 5046, Australia",Oaklands Park,5046,SA,-35.0169938,138.5444739,(08) 8296 6930,https://www.balfours.com.au/,https://www.google.com/maps/place/?q=place_id:ChIJv6bQ3G7asGoRqMz_rWGMi7I,4.2,177.0,1.0,Monday: 7:00 AM – 5:00 PM | Tuesday: 7:00 AM – 5:00 PM | Wednesday: 7:00 AM – 5:00 PM | Thursday: 7:00 AM – 8:00 PM | Friday: 7:00 AM – 5:00 PM | Saturday: 7:00 AM – 5:00 PM | Sunday: 7:00 AM – 5:00 PM,"cafe, establishment, food, point_of_interest, store",2018.0,7.0,2018-07-30 23:48:20,Unknown,Unknown,
FRIDM Panini Bar and Cafe,ChIJTdrewM7HsGoRhOCFX4fTnBM,"2/850 Port Rd, Woodville South SA 5011, Australia",Woodville South,5011,SA,-34.8815835,138.5355272,0466 643 705,https://www.instagram.com/fridmpaninibarandcafe/,https://www.google.com/maps/place/?q=place_id:ChIJTdrewM7HsGoRhOCFX4fTnBM,4.7,87.0,,Monday: 7:00 AM – 2:30 PM | Tuesday: 7:00 AM – 2:30 PM | Wednesday: 7:00 AM – 2:30 PM | Thursday: 7:00 AM – 2:30 PM | Friday: 7:00 AM – 2:30 PM | Saturday: 7:00 AM – 2:00 PM | Sunday: Closed,"cafe, establishment, food, point_of_interest, restaurant, store",2024.0,7.0,2024-07-28 07:53:04,Unknown,Unknown,
La Luna Cafe,ChIJJbj9-hzFsGoRLmj6dZxJFQg,"45 Henley Beach Rd, Henley Beach South SA 5022, Australia",Henley Beach South,5022,SA,-34.9255293,138.5009307,0405 234 625,,https://www.google.com/maps/place/?q=place_id:ChIJJbj9-hzFsGoRLmj6dZxJFQg,4.9,41.0,,Monday: Closed | Tuesday: 6:00 AM – 1:30 PM | Wednesday: 6:00 AM – 1:30 PM | Thursday: 6:00 AM – 1:30 PM | Friday: 6:00 AM – 1:30 PM | Saturday: 7:00 AM – 12:30 PM | Sunday: Closed,"cafe, establishment, food, point_of_interest",2023.0,5.0,2023-05-11 01:53:32,Unknown,Unknown,
Coffee in Common,ChIJh9DFoDfHsGoR_L_Jf8N-iZ4,"7 Bacon St, Hindmarsh SA 5007, Australia",Hindmarsh,5007,SA,-34.9055804,138.5665504,0401 702 056,http://www.coffeeincommon.com.au/,https://www.google.com/maps/place/?q=place_id:ChIJh9DFoDfHsGoR_L_Jf8N-iZ4,4.7,323.0,,Monday: 7:00 – 11:00 AM | Tuesday: 7:00 – 11:00 AM | Wednesday: 7:00 AM – 2:30 PM | Thursday: 7:00 AM – 2:30 PM | Friday: 7:00 AM – 2:30 PM | Saturday: 8:00 AM – 2:30 PM | Sunday: 8:00 AM – 2:30 PM,"cafe, establishment, food, point_of_interest, restaurant",2025.0,10.0,2025-10-16 02:34:56,Unknown,Unknown,
East Club Cafe,ChIJ_8nJDYvLsGoRjz9njSll1GI,"471 Greenhill Rd, Tusmore SA 5065, Australia",Tusmore,5065,SA,-34.9386122,138.651617,(08) 8131 0040,,https://www.google.com/maps/place/?q=place_id:ChIJ_8nJDYvLsGoRjz9njSll1GI,4.7,41.0,,Monday: 7:30 AM – 3:00 PM | Tuesday: 7:30 AM – 3:00 PM | Wednesday: 7:30 AM – 3:00 PM | Thursday: 7:30 AM – 3:00 PM | Friday: 7:30 AM – 3:00 PM | Saturday: 8:00 AM – 2:00 PM | Sunday: 8:00 AM – 12:00 PM,"cafe, establishment, food, point_of_interest",2025.0,7.0,2025-07-26 05:25:14,Unknown,Unknown,
That Coffee Place,ChIJNxQK7__JsGoRbFVgxYzp_-8,"606 Regency Rd, Broadview SA 5083, Australia",Broadview,5083,SA,-34.87274350000001,138.6148944,0493 474 216,http://www.facebook.com/thatcoffeeplaceadl,https://www.google.com/maps/place/?q=place_id:ChIJNxQK7__JsGoRbFVgxYzp_-8,4.4,92.0,,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: 7:00 AM – 3:00 PM | Sunday: 7:00 AM – 3:00 PM,"cafe, establishment, food, point_of_interest, store",2022.0,4.0,2022-04-09 01:04:06,Unknown,Unknown,
